document_id,manual_summary
10,"Menteri BUMN Erick Thohir, Penjabat Gubernur DKI Jakarta Heru Budi Hartono, dan Direktur Utama Pertamina Nicke Widyawati siang ini langsung menggelar rapat di Depo Plumpang, Jakarta Utara, setelah diperintah Presiden Joko Widodo atau Jokowi. "
11,Peneliti Pusat Studi Hukum dan Kebijakan (PSHK) M Nur Ramadhan meminta Komisi Yudisial menggali motif hakim Pengadilan Negeri Jakarta Pusat yang memutus penundaan Pemilu 2024.
12,"Ketua Umum Partai Nasional Demokrat (Nasdem) Surya Paloh mendapatkan sambutan hangat saat menyambangi kediaman Ketua Umum Partai Gerakan Indonesia Raya (Gerindra) Prabowo Subianto, di Hambalang, Babakan Madang, Kabupaten Bogor pada Ahad, 5 Maret 2023."
13,Wakil Ketua MPR RI Yandri Susanto optimis Komisi Pemilihan Umum (KPU) dapat memenangkan banding putusan penundaan Pemilu 2024.
14,"Ketua Umum Partai Gerindra, Prabowo Subianto, menerima kunjungan Ketua Umum Partai NasDem, Surya Paloh, di kediamannya di Hambalang, Bogor, pada Ahad, 5 Maret 2023 untuk saling menghormati keputusan politik masing-masing."
15,"Komisi Nasional Hak Asasi Manusia akan menurunkan tim untuk menginvestigasi dugaan kekerasan aparat di Wamena, Papua."
16,"Pengadilan Negeri Jakarta Pusat mengabulkan gugatan Partai Prima terhadap KPU, memerintahkan penundaan Pemilu 2024 selama 2 tahun 4 bulan 7 hari. Namun, Pengadilan Tinggi DKI Jakarta membatalkan putusan tersebut, menyatakan PN Jakarta Pusat tidak berwenang mengadili perkara itu, dan Pemilu 2024 tetap dilaksanakan sesuai jadwal."
17,"Wakil Presiden Ma'ruf Amin mengusulkan agar depo Pertamina di Plumpang, Jakarta Utara dipindah menjauhi permukiman penduduk pascaterbakar pada Jumat malam kemarin. "
18,Komisi Pemilihan Umum mempersiapkan memori banding terhadap putusan Pengadilan Negeri Jakarta Pusat berupa perintah penundaan pemilu
19,Pengamat hubungan internasional Teuku Rezasyah mengatakan pertemuan Perdana Menteri Fiji Sitivani Rabuka dengan pimpinan gerakan separatis Papua Benny Wenda bisa menimbulkan ketegangan bilateral.
20,"Hakim Tengku Oyong, yang memimpin sidang penundaan Pemilu 2024, sebelumnya pernah menjatuhkan vonis 5 bulan penjara dalam kasus pembunuhan berencana, yang memicu kontroversi. Ia juga dikenal menangani perkara-perkara unik, termasuk yang berkaitan dengan mitos Nyi Roro Kidul ."
21,Perkumpulan Pemilu untuk Demokrasi (Perludem) mendukung niat Komisi Pemilihan Umum atau KPU yang menyatakan banding terhadap putusan penundaan pemilu.
22,Upaya pengembangan pariwisata di kawasan timur Indonesia merupakan langkah strategis dalam rangka pemerataan pembangunan di tanah air.
23,Sekretaris Jenderal PDI Perjuangan Hasto Kristiyanto mengatakan pihak-pihak yang berupaya melakukan penundaan pemilu menggunakan instrumen hukum mesti berhadapan dengan kekuatan rakyat.
24,"Founder Lembaga Survei Kelompok Kajian dan Diskusi Opini Publik Indonesia (KedaiKOPI), Hendri Satrio, menilai putusan penundaan Pemilu 2024 oleh Pengadilan Negeri Jakarta Pusat dinilai terlalu berani. Menurut Hendri, hakim telah melampaui kewenangannya dalam memutus perkara yang seharusnya bersifat perdata."
25,Menteri Pertanian Syahrul Yasin Limpo meminta organisasi Rumah Petani Nelayan Nusantara (RPNN) untuk menggunakan anggaran Kredit Usaha Rakyat (KUR) sebagai dukungan bersama dalam meningkatkan produktivitas.
26,"Putusan Penundaan Pemilu 2024, Tenaga Ahli KSP: Hak Hukum Partai Prima Harus Kita Hormati ; Partai Prima mengajukan gugatan secara perdata ke PN Jakarta Pusat pada Desember 2022. Dan hasilnya, Majelis Hakim PN Jakarta Pusat mengabulkan gugatan tersebut dengan memerintahkan KPU menunda Pemilu 2024."
27,"Komisi Pemberantasan Korupsi (KPK) menyatakan telah mengetahui laporan mengenai adanya dugaan keterlibatan jaringan pencuci uang profesional dalam transaksi mantan pejabat Direktorat Jenderal Pajak Kementerian Keuangan, Rafael Alun Trisambodo."
28,"Harta Rafael Alun Dianggap Tak Wajar, Pegiat Antikorupsi Singgung Soal Lemahnya Penanganan Illicit  ;kata Zaenur pada Ahad 5 Maret 2023.Oleh sebab itu, Zaenur menilai lemahnya pengawasan terhadap illicit enrichment memunculkan fenomena gaya hidup bermewah-mewahan para pejabat negara dan keluarganya. "
29,"Putusan Penundaan Pemilu 2024, Partai Ummat: Jika Boleh, Dipercepat Saja ; Politikus Partai Ummat Mustofa Nahrawardaya mengatakan putusan Pengadilan Negeri Jakarta Pusat soal penundaan Pemilu 2024 tidak masuk akal. Bahkan, dia menawarkan ide alternatif lain yaitu pemilu mendatang dimajukan pelaksanaannya"
30,"Prabowo Subianto Tolak Pasangkan Sandiaga Uno dengan Anies Baswedan Ketua Umum Partai Gerindra Prabowo Subianto secara tegas menolak wacana untuk memasangkan Wakil Ketua Dewan Pembina Gerindra, Sandiaga Uno, dengan Anies Baswedan pada Pemilihan Presiden (Pilpres) 2024. "
31,"Mentan dan Wamendag Lepas Pasokan Bawang Merah Brebes hari ini kita sama-sama mengirim bawang merah dari Brebes ke DKI Jakarta sebanyak 25 truk. Hari ini panen bersama Wamendag dan besok akan diterima Gubernur DKI Jakarta,"""" kata Mentan SYL pada di Desa Krasak, Brebes.Data BPS menunjukkan luas panen"
32,"KPK Akan Periksa Eko Darmanto Komisi Pemberantasan Korupsi akan melakukan pemeriksaan terhadap mantan Kepala Kantor Bea Cukai Yogyakarta Eko Darmanto pada Selasa, 7 Maret 2023. Juru bicara KPK Bidang Pencegahan, Ipi Maryati Kuding,"
33,Kadernya Pindah ke Partai Ummat Wakil Ketua Umum Partai Amanat Nasional (PAN) Viva Yoga Mauladi menilai perpindahan kader partainya ke Partai Ummat tak menjadi masalah. Dia menyatakan bahwa jumlah kader PAN yang pindah tak banyak.
34,"Banyak Politikus Pindah Parpol Menjelang Pemilu Pengamat politik Adi Prayitno membeberkan alasan di balik fenomena berpindahnya kader partai dalam jumlah banyak ke satu partai lainnya. Menurut Adi, fenomena yang sering ditemui jelang pemiluini karena dua faktor.Faktor pertama karena rendahnya party identity yang dimiliki oleh politisi"
35,"Sri Mulyani Segera Lancarkan Reformasi Jilid II Kemenkeu, Siapa yang Disasar? Mantan Komisioner KPK Laode Muhammad Syarief bertemu dengan Menteri Keuangan Sri Mulyani Indrawati. Dalam pertemuan tersebut, menurut dia, Sri Mulyani menyatakan sedang merencanakan reformasi jilid II di Kementerian Keuangan. "
36,"PN Jakpus Putuskan Penundaan Pemilu, Pakar Hukum: Aneh dan Melanggar Yurisdiksi"" Pakar Hukum Tata Negara Feri Amsari menyebut putusan Pengadilan Negeri Jakarta Pusat tentang penundaan Pemilu 2024 dinilai aneh karena melampaui yurisdiksi."
37,"Kunjungi Korban Kebakaran Depo Pertamina Plumpang, Erick Thohir Dikawal Menteri BUMN Erick Thohir mengunjungi korban kebakaran Depo Pertamina Plumpang, Jakarta Utara, siang tadi, Sabtu, 4 Maret 2023, bersama Wakil Presiden Ma'ruf Amin. Mereka datang dikawal Banser (Barisan Ansor Serbaguna) NU."
38,Direktur Eksekutif Voxpol Center Reseach and Consulting Pangi Syarwi Chaniago menyebut pasangan Anies Baswedan - Agus Harimurti Yudhoyono (AHY) memiliki peluang unggul lebih tinggi dalam sejumlah simulasi Pilpres 2024.
39,Ketidakefektifan LHKPN menunjukkan masih rapuhnya landasan hukum dalam menangani kasus kekayaan tidak wajar dan perolehan yang sulit dibuktikan asal-usulnya.
40,Kapolri Jenderal Listyo Sigit Prabowo meminta jajarannya tak pandang bulu dalam menindak kasus dugaan suap berupa jual beli penerimaan bintara polisi di lingkungan Polda Jawa Tengah yang belakangan disorot.
41,Direktur Eksekutif Voxpol Center Reseach and Consulting Pangi Syarwi Chaniago menyebut pasangan Anies Baswedan - Agus Harimurti Yudhoyono (AHY) memiliki peluang unggul lebih tinggi dalam sejumlah simulasi Pilpres 2024.
42,"Menteri Pertanian Syahrul Yasin Limpo, kembali memantau salah satu daerah yang paling parah terdampak banjir di Desa Ciptamargi, Kecamatan Cilebat, Kabupaten Karawang, Jawa Barat. "
43,Kementerian Pertanian memastikan proses perizinan berusaha bagi para pelaku usaha di bidang pupuk dan benih hortikultura dilakukan melalui proses yang sudah terintegrasi dengan Online Single Submission (OSS). 
44,Para pengusaha yang tergabung dalam Gabungan Pengusaha Kelapa Sawit Indonesia (Gapki) didorong untuk memperkuat program peremajaan sawit rakyat (PSR).
45,Menteri Pendayagunaan Aparatur Negara dan Reformasi Birokrasi (Menpan RB) Abdullah Azwar Anas mengatakan minat aparatur sipil negara berusia muda pindah ke Ibu Kota Negara Nusantara cukup tinggi. 
46, Komisi Pemberantasan Korupsi atau KPK menjelaskan alasan mengapa tidak ada tindak lanjut dari laporan transaksi aneh Rafael Alun Trisambodo pada 2012.
47,"Kapolri Jenderal Listyo Sigit Prabowo menemui Gubernur Daerah Istimewa Yogyakarta (DIY) Sri Sultan Hamengku Buwono X di Gedhong Wilis, Kompleks Kepatihan Yogyakarta Jumat 3 Maret 2023."
48,"BPJS Kesehatan berperan dalam hal memberikan penjaminan akses layanan kesehatan sebagai upaya penanganan stunting, mulai dari akses kesehatan bagi ibu saat hamil, saat persalinan maupun pasca persalinan."
49,Menteri Badan Usaha Milik Negara (BUMN) Erick Thohir menargetkan BUMN menjadi benteng lokomotif ekonomi nasional.
